Erie County High School Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.nysed.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Grd 10 English,,,,,,,,,,,,,,,,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,#,%,#,%,#,#,#,#,#,#,#,#,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,All 2008 Cohort,4-yr Grad Rate (All 2008 Cohort),Econ Dis 2008 Cohort,4-yr Grad Rate (Econ Dis 2008 Cohort),Completers,Dropped-Out,HS Equivalency,Total Non-Completers,Four-Year,Two-Year,Other Post-Sec,Military,Employment
Tonawanda Middle/High School,Tonawanda,6 - 12,"600 Fletcher St., Tonawanda, NY 14150",948,480,468,6,18,24,6,878,16,-,126,367,22,293,106,94,163,87,44,77,127,18,0,18,45,59,1,4,3
Alternative Learning Center,West Seneca,12,"900 Mill Rd., West Seneca, NY 14224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Seneca East Senior High School,West Seneca,9 - 12,"4760 Seneca St., West Seneca, NY 14224",911,472,439,6,17,16,18,852,2,7,108,241,25,139,79,95,256,86,70,73,208,9,17,26,102,68,6,5,11
West Seneca West Senior High School,West Seneca,9 - 12,"3330 Seneca St., West Seneca, NY 14224",1358,681,677,6,27,32,8,1274,11,-,173,357,25,210,106,95,357,88,96,84,319,11,9,20,151,103,3,4,40
Williamsville East High School,Williamsville,9 - 12,"151 Paradise Rd., East Amherst, NY 14051",1077,530,547,2,37,27,130,852,29,9,92,87,26,60,34,96,264,94,20,-,296,7,0,7,224,49,0,5,6
Williamsville North High School,Williamsville,9 - 12,"1595 Hopkins Rd., Williamsville, NY 14221",1274,654,620,2,52,28,103,1047,42,5,154,154,24,132,47,91,342,96,28,-,319,7,0,7,246,57,2,4,3
Williamsville South High School,Williamsville,9 - 12,"5950 Main St., Williamsville, NY 14221",946,472,474,3,56,35,43,788,21,-,101,121,24,86,52,95,262,94,41,95,239,8,0,8,173,52,0,3,10
Buffalo Academy of Science Charter School,Charter,7 - 12,"190 Franklin St., Buffalo, NY 14202",404,174,230,0,332,19,13,40,0,14,41,359,-,220,110,93,47,83,31,87,52,7,0,7,52,0,0,0,0
Charter School for Applied Technologies,Charter,K - 12,"2303 Kenmore Ave., Buffalo, NY 14207",1670,799,871,4,507,485,14,545,115,59,198,1395,27,1072,250,93,103,98,78,99,105,-,-,-,37,56,2,2,7
Health Sciences Charter School,Charter,9 - 10 ,"1140 Ellicott St., Buffalo, NY 14209",325,112,213,0,261,20,0,35,9,-,42,271,-,227,37,89,-,-,-,-,-,-,-,-,-,-,-,-,-
Oracle Charter School,Charter,9 - 12,"888 Delaware Ave., Buffalo, NY 14209",354,147,207,1,284,32,1,30,6,-,49,285,19,239,29,88,85,78,6,85,47,8,1,9,13,28,1,0,1
Tapestry Charter School,Charter ,K - 12,"65 Great Arrow Ave., Buffalo, NY 14216",735,347,388,0,380,61,7,261,26,11,101,465,20,348,111,94,81,91,61,90,77,5,0,5,34,34,0,,0
Western New York Maritime Charter Sch.,Charter,9 - 12,"266 Genesee St., Buffalo, NY 14204",292,171,121,0,172,47,2,60,11,7,43,227,-,194,32,91,84,71,64,72,1,7,0,7,12,26,4,8,4
