,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested
Herman Badillo Community School,Buffalo,PK - 8 ,"315 Carolina St., Buffalo, NY 14201",646,312,334,3,66,531,8,30,8,323,140,584,26,539,22,88,2,52,4,27,0,25,3,30,2,52,2,45,0,7,0,0,-,11,0,37,-,1,-,3,0,0,0,65,0,33,0,32,0,32,0,65,0,55,0,10,-,1,0,13,0,47,-,1,-,3,0,0
Highgate Heights,Buffalo,PK - 8,"600 Highgate Ave., Buffalo, NY 14215",494,239,255,2,458,9,2,13,10,-,84,432,22,410,16,92,3,63,6,35,0,28,3,63,3,63,4,55,0,8,0,0,-,61,-,1,0,0,-,1,0,0,3,66,3,36,3,30,3,66,3,66,4,56,0,10,0,0,-,64,-,1,0,0,-,1,0,0
Int'l Prep. School at G. Cleveland at #187,Buffalo,5 - 12,"110 14th St., Buffalo, NY 14213",521,285,236,6,276,100,99,36,4,149,95,443,17,396,14,87,11,37,23,13,4,24,18,22,11,37,-,33,-,4,0,0,6,17,-,6,9,11,-,3,0,0,0,45,0,20,0,25,0,21,0,45,0,34,0,11,0,,0,19,-,6,0,17,-,3,0,0
Lafayette High School,Buffalo,7 - 12,"370 Lafayette Ave., Buffalo, NY 14213",780,394,386,7,208,211,277,72,5,520,138,655,11,628,12,84,0,91,0,54,0,37,0,46,0,91,0,83,0,8,-,2,0,35,0,13,0,30,-,11,0,0,0,105,0,58,0,47,0,46,0,105,0,94,0,11,-,2,0,38,0,13,0,40,-,12,0,0
Lorraine Elementary School,Buffalo,PK - 8,"71 Lorraine St., Buffalo, NY 14220",550,278,272,13,108,69,11,336,13,-,146,451,26,436,41,92,14,73,17,30,12,43,14,73,14,73,11,56,24,17,0,0,6,18,-,10,-,1,14,44,0,0,1,74,0,30,2,44,1,74,1,74,2,58,0,16,0,0,0,19,-,10,-,1,0,4,0,0
Lovejoy Discovery School #43,Buffalo,PK - 8 ,"161 Benzinger St., Buffalo, NY 14206",551,300,251,0,126,59,5,326,35,-,135,500,25,466,33,92,20,44,31,16,14,28,20,44,20,44,19,37,29,7,0,0,21,14,-,5,-,1,22,23,-,1,11,44,19,16,7,28,11,44,11,44,11,37,14,7,0,0,7,14,-,5,-,1,13,23,-,1
Marva J. Daniel Futures Prep. Sch.,Buffalo,PK - 8 ,"295 Carlton St., Buffalo, NY 14204",503,244,259,5,417,32,4,30,15,-,145,474,22,438,7,89,2,43,5,21,0,22,2,43,2,43,3,36,0,7,0,0,-,39,-,2,0,0,-,1,-,1,0,43,0,21,0,22,0,43,0,43,0,37,0,6,0,0,0,38,-,3,0,0,-,1,-,1
Math Sci Tech Prep. Sch. at Seneca,Buffalo,5 - 12 ,"666 E. Delavan Ave., Buffalo, NY 14215",398,217,181,5,338,22,6,26,1,14,76,334,-,305,18,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Native American Magnet,Buffalo,PK - 8 ,"97 W. Delavan Ave., Buffalo, NY 14213",488,232,256,80,179,78,102,43,6,160,76,452,27,431,15,93,12,52,5,21,16,31,16,37,12,52,6,47,60,5,33,9,5,19,0,11,0,6,29,7,0,0,5,58,4,25,6,33,0,19,5,58,4,52,17,6,10,10,0,19,0,13,0,8,25,8,0,0
PS 27 Hillery Park Academy,Buffalo,PK - 8,"73 Pawnee Pkwy., Buffalo, NY 14210",552,284,268,19,137,67,1,307,21,-,153,470,25,452,38,91,19,43,31,16,11,27,19,43,19,43,18,33,20,10,0,0,11,9,-,7,-,1,24,25,-,1,7,42,7,15,7,27,7,42,7,42,9,33,0,9,0,0,11,9,-,6,-,1,8,25,-,1
PS 42 Occupational Training Center,Buffalo,7 - 12 ,"2495 Main St., Buffalo NY 14214",72,47,25,1,41,7,7,16,0,10,68,50,-,41,11,92,-,2,-,2,0,0,-,2,-,2,-,1,-,1,0,0,0,0,-,1,-,1,0,0,0,0,-,3,-,2,-,1,-,3,-,,-,2,-,1,0,0,0,0,-,2,-,1,0,0,0,0
PS 59 Dr. Charles Drew Sci. Magnet,Buffalo,3 - 8,"1 MLK Park, Buffalo, NY 14211",471,240,231,3,396,20,8,43,1,8,82,418,23,391,14,91,4,67,3,35,6,32,4,67,4,67,5,56,0,11,0,0,3,60,-,2,-,2,-,3,0,0,3,70,3,36,,34,-,69,3,70,3,58,0,12,0,0,0,62,-,2,-,3,-,3,0,0
PS 66 North Park Academy,Buffalo,5 - 8,"780 Parkside Ave., Buffalo, NY 14216",353,178,175,1,263,1,1,66,1,-,65,321,23,282,24,91,7,70,9,33,5,37,7,70,7,70,6,65,20,5,0,0,6,64,0,0,0,0,17,6,0,0,1,70,0,33,3,37,1,70,1,70,0,65,20,5,0,0,2,64,0,0,0,0,0,6,0,0
PS 69 Houghton Academy,Buffalo,PK - 8,"1725 Clinton St., Buffalo, NY 14206",486,244,242,1,149,35,1,271,29,-,115,416,25,386,30,90,19,52,20,30,18,22,19,52,19,52,0,41,18,11,0,0,-,19,-,4,0,0,28,29,0,0,12,51,7,29,18,22,12,51,12,51,8,40,27,11,0,0,-,19,-,4,0,0,14,28,0,0
PS 74 Hamlin Park Elem. School,Buffalo,PK - 8,"126 Donaldson Rd., Buffalo, NY 14208",489,241,248,0,438,21,3,17,10,-,107,430,24,407,7,90,3,40,0,19,5,21,3,40,3,40,0,28,8,12,-,1,3,35,-,1,0,0,-,1,-,2,5,40,0,19,10,21,5,40,5,40,0,28,17,12,-,1,6,35,-,1,0,0,-,1,-,2
PS 81,Buffalo,PK - 8,"140 Tacoma Ave., Buffalo, NY 14216",671,329,342,22,263,94,12,240,40,-,146,531,27,483,57,94,17,82,17,53,17,29,17,82,17,82,15,65,24,17,-,1,15,40,-,11,-,1,21,28,-,1,7,83,6,53,10,30,7,83,7,83,6,65,11,8,-,1,0,41,-,12,-,1,18,28,0,0
PS 84,Buffalo,"2, 4 - 6, 8, 10 - 12","462 Grider St., Buffalo, NY 14215",109,66,43,1,37,15,9,46,1,14,98,74,-,66,5,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southside Elementary School,Buffalo,PK - 8,"430 Southside Pkwy., Buffalo, NY 14210",1005,524,481,12,179,147,33,593,41,18,285,832,26,767,46,92,14,115,17,60,11,55,-,114,14,115,12,90,20,25,-,1,8,24,0,18,-,3,19,68,-,1,3,119,3,60,3,59,4,112,3,119,1,91,11,28,-,1,0,25,0,17,-,6,4,69,-,1
Waterfront School,Buffalo,PK - 8,"95 4th St., Buffalo, NY 14202",837,399,438,12,394,168,139,102,22,194,149,771,26,703,49,92,7,95,6,52,9,43,9,78,7,95,7,88,14,7,0,0,6,53,6,16,7,15,18,11,0,0,1,104,0,56,2,48,1,81,1,104,1,97,0,7,0,0,2,57,0,16,0,19,0,12,0,0
West Hertel Elementary School,Buffalo,PK - 8,"489 Hertel Ave., Buffalo, NY 14207",688,376,312,5,282,161,111,95,34,174,134,639,27,629,23,90,4,47,9,22,0,25,6,35,4,47,-,45,-,2,0,0,4,24,0,6,0,9,-,6,-,2,2,55,0,24,3,31,3,36,2,55,-,51,-,4,0,,0,24,0,7,7,15,-,7,-,2
