,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested
Harvey Austin School #97,Buffalo,PK - 7,"1405 Sycamore St., Buffalo, NY 14211",396,207,189,0,346,19,4,19,8,-,111,367,21,353,7,90,13,40,20,20,5,20,13,40,13,40,-,38,-,2,0,0,9,33,-,3,-,1,-,3,0,0,8,40,10,20,5,20,8,40,8,40,-,38,-,2,0,0,6,33,-,3,-,1,-,3,0,0
Herman Badillo Community School,Buffalo,PK - 8,"315 Carolina St., Buffalo, NY 14201",646,312,334,3,66,531,8,30,8,323,140,584,26,539,22,88,0,60,0,34,0,26,0,30,0,60,0,53,0,7,-,1,-,7,,49,0,0,-,1,-,2,1,67,3,37,0,30,0,31,1,67,2,59,0,8,-,1,-,8,2,55,0,0,-,1,-,2
Highgate Heights,Buffalo,PK - 8 ,"600 Highgate Ave., Buffalo, NY 14215",494,239,255,2,458,9,2,13,10,-,84,432,22,410,16,92,7,43,11,18,4,25,7,43,7,43,-,41,-,2,0,0,-,40,-,1,-,1,-,1,0,0,2,42,0,17,4,25,2,42,2,42,-,40,-,2,0,0,-,39,-,1,-,1,-,1,0,0
International School,Buffalo,PK - 6,"141 Hoyt St., Buffalo NY 14213",711,365,346,2,229,54,294,113,19,388,78,668,20,649,11,94,11,94,18,45,4,50,23,44,11,95,-,92,-,3,0,0,3,33,-,8,18,39,7,14,-,1,8,97,13,47,4,50,18,44,8,97,-,94,-,3,0,0,0,34,-,8,0,39,27,15,-,1
Lorraine Elementary School,Buffalo,PK - 8,"71 Lorraine St., Buffalo, NY 14220",550,278,272,13,108,69,11,336,13,-,146,451,26,436,41,92,12,59,13,30,10,29,12,59,12,59,16,43,,16,-,1,0,12,-,11,0,0,17,35,0,0,14,59,13,30,14,29,14,59,14,59,14,43,13,16,-,1,8,12,-,11,0,0,20,35,0,0
Lovejoy Discovery School #43,Buffalo,PK - 8 ,"161 Benzinger St., Buffalo, NY 14206",551,300,251,0,126,59,5,326,35,-,135,500,25,466,33,92,18,62,11,28,24,34,-,61,18,62,16,51,27,11,0,0,9,22,-,7,0,0,25,32,-,1,27,62,26,27,29,35,-,61,27,62,25,51,36,11,0,,13,23,-,6,0,0,38,32,-,1
Marva J. Daniel Futures Prep. Sch.,Buffalo,PK - 8,"295 Carlton St., Buffalo, NY 14204",503,244,259,5,417,32,4,30,15,-,145,474,22,438,7,89,5,43,4,26,6,17,5,43,5,43,-,42,-,1,0,0,0,36,-,4,0,0,-,1,-,2,2,43,0,26,6,17,2,43,2,43,-,42,-,1,0,0,3,36,-,4,0,0,-,1,-,2
Native American Magnet,Buffalo,PK - 8,"97 W. Delavan Ave., Buffalo, NY 14213",488,232,256,80,179,78,102,43,6,160,76,452,27,431,15,93,12,50,17,0,5,20,15,33,12,50,-,48,-,2,9,11,7,14,0,8,7,12,-,4,-,1,14,56,12,34,18,22,19,32,14,56,14,49,14,7,10,10,6,16,13,8,19,16,-,5,-,1
PS 17,Buffalo,PK - 4,"1045 W. Delavan Ave., Buffalo, NY 14209",351,181,170,2,243,54,5,29,18,-,96,325,28,297,16,89,10,60,9,32,11,28,10,60,10,60,11,4,0,6,0,0,15,39,0,15,0,0,-,4,-,2,15,60,13,32,18,28,15,60,15,60,15,54,17,6,0,0,18,39,7,15,0,0,-,4,-,2
PS 27 Hillery Park Academy,Buffalo,PK - 8,"73 Pawnee Pkwy., Buffalo, NY 14210",552,284,268,19,137,67,1,307,1,-,153,470,25,452,38,91,19,59,22,32,15,27,19,59,19,59,15,48,36,11,-,2,22,9,10,10,0,0,21,33,-,5,14,59,16,32,11,27,14,59,14,59,15,48,9,11,-,2,0,9,10,10,0,0,18,33,-,5
PS 59 Dr. Charles Drew Sci. Magnet,Buffalo,3 - 8,"1 MLK Park, Buffalo, NY 14211",471,240,231,3,396,20,8,43,1,8,82,418,23,391,14,91,3,67,3,32,3,35,-,66,3,67,3,62,0,5,-,2,2,53,-,4,-,2,0,5,-,,4,68,6,32,3,36,-,66,4,68,5,63,0,5,-,2,2,53,-,4,-,3,0,5,-,1
PS 61 at 171,Buffalo,PK - 4,"1409 E. Delavan Ave., Buffalo, NY 14215",238,113,125,0,210,10,0,8,10,-,48,235,21,222,4,90,2,41,4,23,0,18,2,41,2,41,2,41,0,0,0,0,3,36,-,2,0,0,0,0,-,3,7,41,4,23,11,18,7,41,7,41,7,41,0,0,0,0,8,36,-,2,0,0,0,0,-,3
PS 65 Roosevelt Academy at 71,Buffalo,PK - 4,"156 Newburgh St., Buffalo, NY 14211",286,163,123,11,84,72,3,101,15,-,64,259,23,233,12,91,10,42,11,19,9,23,10,42,10,42,-,40,-,2,-,1,0,12,12,17,0,0,-,11,-,1,12,42,5,19,17,23,12,42,12,42,-,40,-,2,-,1,0,12,18,17,0,0,-,11,-,1
PS 69 Houghton Academy,Buffalo ,PK - 8,"1725 Clinton St., Buffalo, NY 14206",486,244,242,1,149,35,1,271,29,-,115,416,25,386,30,90,11,54,19,27,4,27,11,54,11,54,11,44,10,10,0,0,20,10,-,5,0,0,11,36,-,3,18,56,14,28,21,28,18,56,18,56,22,46,0,10,0,0,17,12,-,5,0,0,19,36,-,3
PS 74 Hamlin Park Elem. School,Buffalo,PK - 8,"126 Donaldson Rd., Buffalo, NY 14208",489,241,248,0,438,21,3,17,10,-,107,430,24,407,7,90,2,45,0,19,4,26,2,45,2,45,0,40,20,5,0,0,-,41,-,2,-,1,-,1,0,0,2,45,0,19,4,26,2,45,2,45,0,40,20,5,0,0,-,41,-,2,-,1,-,1,0,0
PS 81,Buffalo,PK - 8 ,"140 Tacoma Ave., Buffalo, NY 14216",671,329,342,22,263,94,12,240,40,-,146,531,27,483,57,94,30,88,29,45,30,43,30,88,30,88,26,69,42,19,-,3,30,37,42,12,-,1,0,27,-,8,28,88,29,45,28,43,28,88,28,88,23,69,47,19,-,3,19,37,33,12,-,1,41,27,-,8
PS 82,Buffalo,PK - 4,"230 Easton Ave., Buffalo, NY 14215",399,206,193,1,45,15,3,19,16,-,124,385,22,376,6,88,4,7,4,24,5,43,4,7,4,67,-,63,-,4,0,0,5,57,-,2,0,0,-,7,-,1,6,68,13,24,2,44,6,68,6,68,-,64,-,4,0,0,7,58,-,2,0,0,-,7,-,1
Southside Elementary School,Buffalo,PK - 8,"430 Southside Pkwy., Buffalo, NY 14210",1005,524,481,12,179,147,33,593,41,18,285,832,26,767,46,92,23,91,30,46,16,45,23,91,23,91,22,74,29,17,-,4,14,14,11,9,-,3,24,59,-,2,13,98,12,52,15,46,13,91,13,98,11,76,23,22,-,4,0,17,0,8,17,6,16,61,-,2
Stanley Makowski Early Childhood Center,Buffalo,PK - 4,"1095 Jefferson Ave., Buffalo, NY 14208",690,357,333,6,529,40,63,35,17,93,167,646,25,614,25,91,6,125,5,64,7,61,,110,6,125,6,114,0,11,0,0,6,98,0,8,0,12,-,4,-,3,6,131,3,65,9,66,7,111,6,131,7,120,0,11,0,0,7,101,0,8,0,14,-,5,-,3
Waterfront School,Buffalo,PK - 8,"95 4th St., Buffalo, NY 14202",837,399,438,12,394,168,139,102,22,197,149,771,26,703,49,92,10,78,19,37,2,41,15,54,10,78,10,70,13,8,0,0,9,35,,14,6,17,-,9,-,3,18,82,19,37,18,45,28,54,18,82,17,72,30,10,0,0,25,36,14,14,11,19,-,10,-,3
West Hertel Elementary School,Buffalo,PK - 8,"489 Hertel Ave., Buffalo, NY 14207",688,376,312,5,282,161,111,95,34,174,134,639,27,629,23,90,4,89,6,31,3,58,4,73,4,89,5,83,0,6,-,1,5,41,0,22,33,6,0,15,-,4,4,90,3,32,5,58,4,70,4,90,4,84,17,6,-,1,3,40,0,21,13,8,6,16,-,4
Union East Elementary School ,Cheektowaga,PK - 4,"3550 Union Rd., Cheektowaga, NY 14225",735,382,353,5,217,51,42,385,35,30,106,460,21,360,100,4,26,149,34,73,17,76,26,144,26,149,18,102,43,47,-,1,15,48,-,6,25,8,33,84,-,2,22,152,23,75,22,77,23,146,22,152,17,103,35,49,-,1,13,48,-,6,0,10,32,85,-,2
