address,condition,occupancy,comments,Occupied
"275 Minnesota Ave, Buffalo, NY",2,1,,1
"88 Minnesota Ave, Buffalo, NY",2,1,,1
"89 Minnesota Ave, Buffalo, NY",2,1,,1
"93 Minnesota Ave, Buffalo, NY",2,1,,1
"40 LaSalle Avenue, Buffalo, NY",2,1,,1
"48 LaSalle Avenue, Buffalo, NY",2,1,,1
"33 LaSalle Avenue, Buffalo, NY",2,1,,1
"73 LaSalle Avenue, Buffalo, NY",3,2,,0
"165 Minnesota Avenue, Buffalo, NY",1,1,,1
"207 Minnesota Avenue, Buffalo, NY",3,2,,0
"128 LaSalle Ave, Buffalo, NY",1,1,,1
"148 LaSalle Ave, Buffalo, NY",2,1,,1
"152 LaSalle Ave, Buffalo, NY",3,1,,1
"216 LaSalle Ave, Buffalo, NY",2,1,,1
"230 LaSalle Ave, Buffalo, NY",1,1,,1
"234 Lisbon Ave, Buffalo, NY",2,1,,1
"215 Lisbon Ave, Buffalo, NY",2,1,,1
"219 Lisbon Ave, Buffalo, NY",2,1,,1
"237 Lisbon Ave, Buffalo, NY",2,1,,1
"249 Lisbon Ave, Buffalo, NY",2,1,,1
"255 Lisbon Ave, Buffalo, NY",2,1,,1
"287 Lisbon Ave, Buffalo, NY",2,1,,1
"220 Minnesota Ave, Buffalo, NY",2,1,,1
"237 Minnesota Ave, Buffalo, NY",2,1,,1
"295 Minnesota Ave, Buffalo, NY",1,1,,1
"311 Minnesota Ave, Buffalo, NY",1,1,,1
"192 Lisbon Ave, Buffalo, NY",2,1,,1
"232 Lisbon Ave, Buffalo, NY",2,1,,1
"209 Lisbon Ave, Buffalo, NY",2,1,,1
"223 Lisbon Ave, Buffalo, NY",2,1,,1
"253 Lisbon Ave, Buffalo, NY",2,1,,1
"250 Minnesota Ave, Buffalo, NY",1,1,,1
"302 Minnesota Ave, Buffalo, NY",3,2,,0
"233 Minnesota Ave, Buffalo, NY",1,1,,1
"283 Minnesota Ave, Buffalo, NY",1,1,,1
"315 Minnesota Ave, Buffalo, NY",2,1,,1
"3191 Main St, Buffalo, NY",1,1,,1
"47 E Morris Ave, Buffalo, NY",1,1,,1
"161 E Morris Ave, Buffalo, NY",1,1,,1
"72 E Depew Ave, Buffalo, NY",1,1,,1
"76 E Depew Ave, Buffalo, NY",1,1,,1
"175 E Morris Ave, Buffalo, NY",1,1,,1
"140 E Morris Ave, Buffalo, NY",1,1,,1
"47 E Depew Ave, Buffalo, NY",1,1,,1
"75 E Depew Ave, Buffalo, NY",1,1,,1
"81 E Depew Ave, Buffalo, NY",1,1,,1
"3223 Main Street, Buffalo, NY",1,1,,1
"85 E Depew Ave, Buffalo, NY",1,1,,1
"62 Winspear Ave, Buffalo, NY",2,1,,1
"98 Winspear Ave, Buffalo, NY",2,1,,1
"34 Benwood Ave, Buffalo, NY",1,1,,1
"51 Winspear Ave, Buffalo, NY",2,1,,1
"80 Highgate Ave, Buffalo, NY",1,1,,1
"127 Range Ave, Buffalo, NY",2,1,,1
"124 Highgate Ave, Buffalo, NY",1,1,,1
"163 Range Ave, Buffalo, NY",1,1,,1
"138 Highgate Ave, Buffalo, NY",2,1,,1
"25 Shirley Ave, Buffalo, NY",1,1,,1
"93 Highgate Ave, Buffalo, NY",1,1,,1
"16 Dartmouth Ave Buffalo, NY",1,1,,1
"24 Shirley Ave, Buffalo, NY, 14215",1,1,,1
"37 Northrup Place, Buffalo, NY",2,1,,1
"83 Northrup Place, Buffalo, NY",1,1,,1
"52 Shirley Ave, Buffalo, NY",1,1,,1
"168 Highgate Ave, Buffalo, NY",1,1,,1
"224 Highgate Ave, Buffalo, NY",2,1,,1
"129 Lisbon Ave, Buffalo, NY",2,1,,1
"266 Highgate Ave, Buffalo, NY",1,1,,1
"237 Highgate Ave, Buffalo, NY",1,1,,1
"142 Dartmouth Ave, Buffalo, NY",2,1,,1
"225 Winspear Ave, Buffalo, NY",2,1,,1
"109 Dartmouth Ave, Buffalo, NY",1,1,,1
"192 Winspear Ave, Buffalo, NY",2,1,,1
"298 LaSalle Ave, Buffalo, NY",1,1,,1
"200 Winspear Ave, Buffalo, NY",2,1,,1
"139 Dartmouth Ave, Buffalo, NY",1,1,,1
"204 Winspear Ave, Buffalo, NY",2,1,,1
"143 Dartmouth Ave, Buffalo, NY",1,1,,1
"322 LaSalle Ave, Buffalo, NY",1,1,,1
"245 LaSalle Ave, Buffalo, NY",1,1,,1
"249 LaSalle Ave, Buffalo, NY",2,1,,1
"26 Dartmouth Ave Buffalo, NY",2,1,,1
